City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Berbera,SO,10.4396,45.0143,77.67,66,17,0.25,few clouds
80,Belaya Kholunitsa,RU,58.84,50.8528,11.77,91,86,10.16,overcast clouds
81,Inndyr,NO,67.0338,14.0276,19.78,76,92,5.44,overcast clouds
82,Barrow,US,71.2906,-156.7887,-5.78,77,90,12.66,snow
83,Sovetskiy,RU,61.3614,63.5842,6.76,83,78,13.58,broken clouds
84,Una,IN,20.8167,71.0333,79.72,47,25,4.36,scattered clouds
85,Yatou,CN,37.15,122.3833,27.99,48,77,21.36,broken clouds
86,Busselton,AU,-33.65,115.3333,97.41,25,12,6.58,few clouds
87,Constitucion,CL,-35.3333,-72.4167,62.17,65,38,6.29,scattered clouds
88,Bad Doberan,DE,54.1071,11.9005,27.01,74,41,6.73,scattered clouds
89,Dong Hoi,VN,17.4833,106.6,69.96,93,100,7.11,overcast clouds
90,Aykhal,RU,66.0,111.5,-26.59,100,97,1.32,overcast clouds
91,Whitianga,NZ,-36.8333,175.7,72.23,70,63,9.66,broken clouds
92,Haines Junction,CA,60.7522,-137.5108,-2.25,78,100,0.0,light snow
93,Qaanaaq,GL,77.484,-69.3632,6.91,96,100,9.66,light snow
94,Custoias,PT,41.1053,-7.321,47.77,96,100,4.97,overcast clouds
95,Pauini,BR,-7.7136,-66.9764,75.27,93,98,1.16,overcast clouds
96,Lodja,CD,-3.4833,23.4333,74.52,79,84,2.17,broken clouds
97,Ostersund,SE,63.1792,14.6357,23.45,93,90,4.61,overcast clouds
98,Hambantota,LK,6.1241,81.1185,86.34,62,20,10.36,few clouds
99,College,US,64.8569,-147.8028,13.21,87,90,3.44,snow
100,Ketchikan,US,55.3422,-131.6461,15.78,60,1,0.0,clear sky
101,Sergeyevka,KZ,53.88,67.4158,-9.4,96,6,4.27,clear sky
102,Castro,BR,-24.7911,-50.0119,57.24,66,28,2.59,scattered clouds
103,Marsh Harbour,BS,26.5412,-77.0636,72.1,60,0,5.19,clear sky
104,Fuling,CN,29.7022,107.3919,45.91,69,100,1.63,overcast clouds
105,Teya,RU,60.3778,92.6267,11.35,88,100,2.44,overcast clouds
106,Saint-Philippe,RE,-21.3585,55.7679,83.75,82,64,1.77,light rain
107,Khatanga,RU,71.9667,102.5,-22.83,96,56,3.83,broken clouds
108,Khani,GE,41.9563,42.9566,29.77,82,81,7.72,broken clouds
109,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.9,84,0,5.97,clear sky
110,Santa Maria,BR,-29.6842,-53.8069,68.52,53,28,1.05,light rain
111,Koboko,UG,3.4136,30.9599,71.04,72,66,4.34,light rain
112,Vallenar,CL,-28.5708,-70.7581,69.76,60,83,2.62,broken clouds
113,Cabrobo,BR,-8.5142,-39.31,73.42,87,100,5.48,overcast clouds
114,Rawson,AR,-43.3002,-65.1023,63.75,66,0,6.17,clear sky
115,Katangli,RU,51.7102,143.2326,-1.95,89,100,24.76,overcast clouds
116,Nizwa,OM,22.9333,57.5333,76.06,37,99,2.75,overcast clouds
117,Tynda,RU,55.1667,124.7167,-11.96,91,81,2.95,broken clouds
118,Tiksi,RU,71.6872,128.8694,-10.61,99,100,6.11,overcast clouds
119,Russell,US,32.3502,-85.1999,64.11,94,38,4.65,scattered clouds
120,Okha,RU,53.5739,142.9478,14.2,93,100,14.83,light snow
121,Chuy,UY,-33.6971,-53.4616,64.13,92,47,8.81,scattered clouds
122,Antalaha,MG,-14.9003,50.2788,83.39,65,98,4.34,overcast clouds
123,Torbay,CA,47.6666,-52.7314,29.57,93,75,20.71,broken clouds
124,Pirovskoye,RU,57.6267,92.2658,6.89,86,100,3.67,overcast clouds
125,Bethel,US,41.3712,-73.414,48.49,92,90,0.0,overcast clouds
126,Namibe,AO,-15.1961,12.1522,63.23,100,75,9.22,broken clouds
127,Bathsheba,BB,13.2167,-59.5167,77.61,57,20,13.8,few clouds
128,Mozarlandia,BR,-14.7447,-50.5706,70.75,93,26,1.39,scattered clouds
129,Porto Novo,BJ,6.4965,2.6036,78.62,88,24,2.3,few clouds
130,Ouallam,NE,14.3188,2.0866,70.79,15,100,8.97,overcast clouds
131,Saint-Augustin,CA,51.226,-58.6502,35.62,79,96,17.6,overcast clouds
132,Lompoc,US,34.6391,-120.4579,53.13,80,90,6.91,overcast clouds
133,Morros,BR,-9.4467,-46.3003,69.67,97,100,5.44,overcast clouds
134,Klaksvik,FO,62.2266,-6.589,40.12,62,96,19.86,overcast clouds
135,Guerrero Negro,MX,27.9769,-114.0611,59.52,74,97,11.23,overcast clouds
136,Tinaquillo,VE,9.9186,-68.3047,70.63,93,65,3.15,broken clouds
137,El Seibo,DO,18.7641,-69.0375,70.86,94,21,4.34,few clouds
138,Saint-Joseph,RE,-21.3667,55.6167,83.21,81,61,4.21,light rain
139,Trairi,BR,-3.2778,-39.2689,79.21,82,97,5.1,overcast clouds
140,Ciudad Bolivar,VE,8.1222,-63.5497,73.83,84,39,9.08,scattered clouds
141,Carnarvon,AU,-24.8667,113.6333,82.47,65,74,17.27,broken clouds
142,Tukrah,LY,32.5341,20.5791,53.96,71,0,9.86,clear sky
143,Narsaq,GL,60.9167,-46.05,41.22,46,100,20.76,overcast clouds
144,Shitanjing,CN,39.2342,106.3439,13.15,15,0,2.17,clear sky
145,Norman Wells,CA,65.282,-126.8329,-30.96,68,20,6.91,few clouds
146,Jambi,ID,-1.6,103.6167,87.48,62,59,5.23,broken clouds
147,New Norfolk,AU,-42.7826,147.0587,62.74,55,31,4.0,light rain
